PROVINCIA,CANTON,PARROQUIA,ZONA,SECTOR,MANZANA,No. DE VIVIENDA,No. DE HOGAR,Area urbana o rural,Tipo de vivienda,Via de acceso principal a la vivienda,Condición de ocupación de la vivienda,Material predominante del techo o cubierta de la vivienda,Material predominante de las paredes exteriores de la vivienda,Material predominante del piso de la vivienda,Estado del techo de la vivienda,Estado de las paredes de la vivienda,Estado del piso de la vivienda,De donde proviene principalmente el agua que recibe la vivienda,El agua que recibe la vivienda es,El servicio higiénico o escusado de la vivienda es,El servicio de luz (energía) eléctrica de la vivienda proviene principalmente,Dispone la vivienda de medidor de energía eléctrica,Cuantos focos ahorradores tiene su vivienda,Cuantos focos convencionales tiene su vivienda,Principalmente como elimina la basura,"Sin contar la cocina, el baño y cuartos de negocio.Cuantos cuartos tiene la vivienda","Todas las personas que duermen en esta vivienda, cocinan sus alimentos en forma conjunta y comparten un mismo gasto para la comida",nro_hogares,Total_Personas,Total de dormitorios de la vivienda,Total de emigrantes,Identificador de manzana,viv_id,hog_id,Nombre de provincia,Nombre de cantón,Nombre de parroquia,sec_id
Orellana,01,51,999,007,01,056,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,Por carro recolector,2 cuartos,Si,1,1,1 dormitorio,#NULL !,22015199900701,22015199900701056,220151999007010561,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,01,057,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,0,4,Por carro recolector,4 cuartos,Si,1,7,3 dormitorios,1,22015199900701,22015199900701057,220151999007010571,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,01,061,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,"De río, vertiente, acequia o canal","Por tubería fuera del edificio, lote o terreno",No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,La entierran,2 cuartos,Si,1,6,2 dormitorios,#NULL !,22015199900701,22015199900701061,220151999007010611,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,01,063,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Bueno,Bueno,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,2,3,Por carro recolector,3 cuartos,Si,1,4,1 dormitorio,#NULL !,22015199900701,22015199900701063,220151999007010631,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,01,064,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,La arrojan en terreno baldío o quebrada,3 cuartos,Si,1,4,2 dormitorios,#NULL !,22015199900701,22015199900701064,220151999007010641,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,01,065,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Teja,Hormigón,Tabla sin tratar,Regular,Regular,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,15,0,Por carro recolector,4 cuartos,Si,1,6,3 dormitorios,#NULL !,22015199900701,22015199900701065,220151999007010651,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,02,001,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Hormigón,Ladrillo o cemento,Bueno,Bueno,Bueno,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,No tiene medidor,1,0,Por carro recolector,2 cuartos,Si,1,5,1 dormitorio,#NULL !,22015199900702,22015199900702001,220151999007020011,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,02,004,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,Por carro recolector,2 cuartos,Si,1,5,2 dormitorios,#NULL !,22015199900702,22015199900702004,220151999007020041,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,02,006,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Malo,Malo,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,1,0,La queman,1 cuarto,Si,1,5,1 dormitorio,#NULL !,22015199900702,22015199900702006,220151999007020061,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,02,008,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,La queman,3 cuartos,Si,1,3,3 dormitorios,#NULL !,22015199900702,22015199900702008,220151999007020081,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,02,009,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,9,0,Por carro recolector,3 cuartos,Si,1,5,3 dormitorios,#NULL !,22015199900702,22015199900702009,220151999007020091,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,02,010,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Ladrillo o bloque,Ladrillo o cemento,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,0,2,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1,4,2 dormitorios,#NULL !,22015199900702,22015199900702010,220151999007020101,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,02,011,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Bueno,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,1 cuarto,Si,1,3,1 dormitorio,#NULL !,22015199900702,22015199900702011,220151999007020111,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,02,013,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal","Por tubería fuera del edificio, lote o terreno",Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,0,3,Por carro recolector,4 cuartos,Si,1,4,2 dormitorios,#NULL !,22015199900702,22015199900702013,220151999007020131,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,02,014,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,Por carro recolector,1 cuarto,Si,1,2,1 dormitorio,#NULL !,22015199900702,22015199900702014,220151999007020141,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,02,015,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Bueno,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,3 cuartos,Si,1,3,3 dormitorios,#NULL !,22015199900702,22015199900702015,220151999007020151,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,02,019,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Teja,Hormigón,"Cerámica, baldosa, vinil o mármol",Bueno,Bueno,Bueno,De red pública,Por tubería dentro de la vivienda,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,2 cuartos,Si,1,1,2 dormitorios,#NULL !,22015199900702,22015199900702019,220151999007020191,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,02,024,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Teja,Hormigón,"Cerámica, baldosa, vinil o mármol",Bueno,Bueno,Bueno,De red pública,Por tubería dentro de la vivienda,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,2 cuartos,Si,1,1,1 dormitorio,#NULL !,22015199900702,22015199900702024,220151999007020241,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,02,029,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Ladrillo o cemento,Malo,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,"Con descarga directa al mar, río, lago o quebrada",Red de empresa eléctrica de servicio público,De uso común a varias viviendas,1,0,Por carro recolector,1 cuarto,Si,1,3,1 dormitorio,#NULL !,22015199900702,22015199900702029,220151999007020291,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,008,01,002,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,6,0,Por carro recolector,5 cuartos,Si,1,5,4 dormitorios,#NULL !,22015199900801,22015199900801002,220151999008010021,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,01,004,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,3 cuartos,Si,1,4,2 dormitorios,#NULL !,22015199900801,22015199900801004,220151999008010041,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,01,005,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal","Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,Por carro recolector,2 cuartos,Si,1,3,2 dormitorios,#NULL !,22015199900801,22015199900801005,220151999008010051,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,01,008,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,Por carro recolector,5 cuartos,Si,1,6,2 dormitorios,#NULL !,22015199900801,22015199900801008,220151999008010081,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,01,010,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,1 cuarto,Si,1,6,1 dormitorio,#NULL !,22015199900801,22015199900801010,220151999008010101,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,01,013,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Bueno,Bueno,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,Por carro recolector,2 cuartos,Si,1,8,2 dormitorios,#NULL !,22015199900801,22015199900801013,220151999008010131,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,01,014,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso común a varias viviendas,3,0,La queman,1 cuarto,Si,1,1,1 dormitorio,#NULL !,22015199900801,22015199900801014,220151999008010141,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,01,015,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,3 cuartos,Si,1,8,2 dormitorios,#NULL !,22015199900801,22015199900801015,220151999008010151,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,01,016,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,4 cuartos,Si,1,11,3 dormitorios,#NULL !,22015199900801,22015199900801016,220151999008010161,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,01,018,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Bueno,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,3,1,Por carro recolector,4 cuartos,Si,1,6,2 dormitorios,#NULL !,22015199900801,22015199900801018,220151999008010181,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,01,020,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,1,1,Por carro recolector,1 cuarto,Si,1,5,1 dormitorio,#NULL !,22015199900801,22015199900801020,220151999008010201,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,01,021,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,1,0,La queman,1 cuarto,Si,1,2,1 dormitorio,#NULL !,22015199900801,22015199900801021,220151999008010211,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,01,022,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,1,1,La queman,2 cuartos,Si,1,3,1 dormitorio,#NULL !,22015199900801,22015199900801022,220151999008010221,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,01,024,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,Por carro recolector,4 cuartos,Si,1,3,2 dormitorios,#NULL !,22015199900801,22015199900801024,220151999008010241,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,01,026,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,Por carro recolector,4 cuartos,Si,1,7,3 dormitorios,#NULL !,22015199900801,22015199900801026,220151999008010261,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,01,027,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,3 cuartos,Si,1,1,1 dormitorio,#NULL !,22015199900801,22015199900801027,220151999008010271,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,01,029,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Malo,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,1,2,La queman,4 cuartos,Si,1,8,3 dormitorios,#NULL !,22015199900801,22015199900801029,220151999008010291,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,01,030,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,Por carro recolector,2 cuartos,Si,1,1,1 dormitorio,#NULL !,22015199900801,22015199900801030,220151999008010301,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,01,031,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Ladrillo o bloque,Ladrillo o cemento,Bueno,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,Por carro recolector,3 cuartos,Si,1,3,2 dormitorios,#NULL !,22015199900801,22015199900801031,220151999008010311,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,01,032,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,Por carro recolector,1 cuarto,Si,1,2,1 dormitorio,#NULL !,22015199900801,22015199900801032,220151999008010321,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,01,033,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,6,0,Por carro recolector,3 cuartos,Si,1,4,2 dormitorios,#NULL !,22015199900801,22015199900801033,220151999008010331,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,01,034,1,Area rural,Mediagua,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Ladrillo o bloque,Ladrillo o cemento,Bueno,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,Por carro recolector,2 cuartos,Si,1,2,2 dormitorios,#NULL !,22015199900801,22015199900801034,220151999008010341,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,002,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,4 cuartos,Si,1,5,3 dormitorios,#NULL !,22015199900802,22015199900802002,220151999008020021,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,003,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,Por carro recolector,3 cuartos,Si,1,1,1 dormitorio,#NULL !,22015199900802,22015199900802003,220151999008020031,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,004,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,3 cuartos,Si,1,5,2 dormitorios,#NULL !,22015199900802,22015199900802004,220151999008020041,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,007,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tierra,Regular,Regular,Malo,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,La queman,1 cuarto,Si,1,6,1 dormitorio,#NULL !,22015199900802,22015199900802007,220151999008020071,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,009,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,7,0,Por carro recolector,3 cuartos,Si,1,4,2 dormitorios,#NULL !,22015199900802,22015199900802009,220151999008020091,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,011,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,6,0,Por carro recolector,3 cuartos,Si,1,4,2 dormitorios,#NULL !,22015199900802,22015199900802011,220151999008020111,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,013,1,Area rural,Mediagua,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,1,0,Por carro recolector,1 cuarto,Si,1,3,1 dormitorio,#NULL !,22015199900802,22015199900802013,220151999008020131,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,015,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,2 cuartos,Si,1,8,1 dormitorio,#NULL !,22015199900802,22015199900802015,220151999008020151,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,016,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,Por carro recolector,2 cuartos,Si,1,1,2 dormitorios,#NULL !,22015199900802,22015199900802016,220151999008020161,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,018,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,Por carro recolector,2 cuartos,Si,1,1,1 dormitorio,#NULL !,22015199900802,22015199900802018,220151999008020181,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,019,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,9,0,Por carro recolector,4 cuartos,Si,1,3,4 dormitorios,#NULL !,22015199900802,22015199900802019,220151999008020191,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,020,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,Por carro recolector,2 cuartos,Si,1,3,1 dormitorio,#NULL !,22015199900802,22015199900802020,220151999008020201,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,021,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,2 cuartos,Si,1,3,2 dormitorios,#NULL !,22015199900802,22015199900802021,220151999008020211,ORELLANA,ORELLANA,DAYUMA,220151999008
Orellana,01,51,999,008,02,025,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,4 cuartos,Si,1,8,3 dormitorios,#NULL !,22015199900802,22015199900802025,220151999008020251,ORELLANA,ORELLANA,DAYUMA,220151999008
